CDUID	P65	P80	SR65	SR80	ODR	S65
5929	23.6032	6.16723	91.08911	77.38693	37.05431	0.1366
5931	8.55361	1.66357	102.48447	75	11.53099	0.06602
5933	16.9919	4.03976	92.46032	73.99329	25.0934	0.44145
5935	19.15602	5.58833	83.27128	66.44573	28.93985	0.69665
5937	21.01875	5.85324	87.37651	68.91652	32.78295	0.34529
5939	20.82673	5.13739	92.31473	75.59322	31.98054	0.21274
5941	16.204	3.31773	104.75709	77.6824	24.04567	0.20444
5943	11.60264	1.73822	120.3252	90.90909	16.6875	0.027
5945	12.78852	2.33936	110	77.77778	18.98148	0.00829
5947	11.79195	2.55537	102.29358	66.66667	17.05814	0.04479
5949	12.51305	2.38216	100.64516	78.78788	18.34412	0.09454
5951	12.30616	2.576	102.52101	77.87611	18.37395	0.09757
5953	11.72738	2.35636	97.61468	72.50996	16.61142	0.21789
5955	9.49536	2.08049	92.7242	68.24324	13.65976	0.11537
5957	16.69316	2.38474	133.33333	50	23.33333	0.00212
5959	4.30262	0.62747	113.04348	75	5.7623	0.00485
6001	9.1306	1.54881	113.10345	85.96491	12.40481	0.06259
6101	7.22586	1.34088	100	60	10.37433	0.00981
6102	6.83469	1.06792	112.5	66.66667	9.7561	0.00324
6103	5.86771	1.06686	77.77778	40	9.34844	0.00334
6104	7.85582	1.84843	113.04348	71.42857	11.33333	0.00516
6105	9.04879	1.66498	106.77966	120	12.80738	0.01264
6106	3.65151	0.59144	107.24638	78.57143	4.77954	0.01436
6204	3.06984	0.35421	125.53191	50	4.63665	0.01052
6205	3.40592	0.39084	103.22581	75	5.57587	0.00617
6208	3.82568	0.41583	130	150	6.14973	0.00465
